MOVIE_NAME,DIRECTOR
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola
The We and the I,Michel Gondry
Killing Season,Mark Steven Johnson
Redemption (2013),Steven Knight
Touchy Feely,Lynn Shelton
The Look of Love,Michael Winterbottom
Violet & Daisy,Geoffrey Fletcher
As I Lay Dying,James Franco
Jayne Mansfield's Car,Billy Bob Thornton
Welcome to the Punch,Eran Creevy
Hell Baby,Thomas Lennon & Ben Garant
Pawn Shop Chronicles,Wayne Kramer
Sal,James Franco
Some Velvet Morning,Neil LaBute
Tricked,Paul Verhoeven
Plush,Catherine Hardwicke
Marvel's The Avengers,Joss Whedon
The Dark Knight Rises,Christopher Nolan
The Hunger Games,Gary Ross
Skyfall,Sam Mendes
The Hobbit:An Unexpected Journey,Peter Jackson
The Twilight Saga:Breaking Dawn Part 2,Bill Condon
The Amazing Spider-Man,Marc Webb
Brave,Mark Andrews
Brave,Brenda Chapman
Ted,Seth MacFarlane
Madagascar 3:Europe's Most Wanted,Eric Darnell
Madagascar 3:Europe's Most Wanted,Tom McGrath
Madagascar 3:Europe's Most Wanted,Conrad Vernon
Dr. Seuss' The Lorax,Chris Renaud
Wreck-It Ralph,Rich Moore
Lincoln,Steven Spielberg
MIB 3,Barry Sonnenfeld
Django Unchained,Quentin Tarantino
Snow White and the Huntsman,Rupert Sanders
Les Miserables (2012),Tom Hooper
Taken 2,Olivier Megaton
21 Jump Street,Phil Lord
21 Jump Street,Chris Miller (II)
Argo,Ben Affleck
Silver Linings Playbook,David O. Russell
Prometheus,Ridley Scott
Safe House,Daniel Espinosa
The Vow,Michael Sucsy
Life of Pi,Ang Lee
Magic Mike,Steven Soderbergh
The Bourne Legacy,Tony Gilroy
Journey 2:The Mysterious Island,Brad Peyton
Zero Dark Thirty,Kathryn Bigelow
Flight,Robert Zemeckis
Think Like a Man,Tim Story
The Campaign,Jay Roach
The Expendables 2,Simon West
Wrath of the Titans,Jonathan Liebesman
Jack Reacher,Christopher McQuarrie
Dark Shadows,Tim Burton
Parental Guidance,Andy Fickman
John Carter,Andrew Stanton
Act of Valor,Mike McCoy
Act of Valor,Scott Waugh
This Is 40,Judd Apatow
Contraband,Baltasar Kormakur
Looper,Rian Johnson
Tyler Perry's Madea's Witness Protection,Tyler Perry
Battleship,Peter Berg
Pitch Perfect,Jason Moore
Mirror Mirror,Tarsem
Chronicle (2012),Josh Trank
Hope Springs,David Frankel
Underworld Awakening,Mars Marlind
Underworld Awakening,Bjorn Stein
The Lucky One,Scott Hicks
The Dictator,Larry Charles
Total Recall (2012),Len Wiseman
American Reunion,Jon Hurwitz
American Reunion,Hayden Schlossberg
ParaNorman,Sam Fell
This Means War,McG
Project X,Nima Nourizadeh
The Woman in Black,James Watkins
Paranormal Activity 4,Henry Joost
Paranormal Activity 4,Ariel Schulman
The Devil Inside,William Brent Bell
The Odd Life of Timothy Green,Peter Hedges
Ghost Rider:Spirit of Vengeance,Mark Neveldine
Ghost Rider:Spirit of Vengeance,Brian Taylor
The Grey,Joe Carnahan
The Possession,Ole Bornedal
Diary of a Wimpy Kid:Dog Days,David Bowers
Sinister,Scott Derrickson
Savages (2012),Oliver Stone
The Best Exotic Marigold Hotel,John Madden
Moonrise Kingdom,Wes Anderson
Here Comes the Boom,Frank Coraci
Red Dawn (2012),Dan Bradley
The Three Stooges,The Farrelly Bros.
Resident Evil:Retribution,Paul W.S. Anderson
The Cabin in the Woods,Drew Goddard
What to Expect When You're Expecting,Kirk Jones
End of Watch,David Ayer
Rock of Ages,Adam Shankman
Abraham Lincoln:Vampire Hunter,Timur Bekmambetov
Lawless,John Hillcoat
The Guilt Trip,Anne Fletcher
That's My Boy,Sean Anders
Trouble with the Curve,Robert Lorenz
The Watch,Akiva Schaffer
Frankenweenie,Tim Burton
Step Up Revolution,Scott Speer
Tyler Perry's Good Deeds,Tyler Perry
2016 Obama's America,Dinesh D'Souza
2016 Obama's America,John Sullivan
House at the End of The Street,Mark Tonderai
The Pirates! Band of Misfits,Peter Lord
Joyful Noise,Todd Graff
The Five-Year Engagement,Nick Stoller
Cloud Atlas,Tom Tykwer
Cloud Atlas,Lilly & Lana Wachowski
One For the Money,Julie Anne Robinson
Alex Cross,Rob Cohen
Sparkle (2012),Salim Akil
Premium Rush,David Koepp
Big Miracle,Ken Kwapis
The Impossible,J.A. Bayona
Haywire,Steven Soderbergh
Man on a Ledge,Asger Leth
A Thousand Words,Brian Robbins
The Perks of Being a Wallflower,Stephen Chbosky
Silent Hill:Revelation 3D,Michael J. Bassett
Wanderlust,David Wain
Safe (2012),Boaz Yakin
To Rome with Love,Woody Allen
The Master,Paul Thomas Anderson
The Raven,James McTeigue
Killing Them Softly,Andrew Dominik
Hit and Run,David Palmer
Dredd,Pete Travis
Playing for Keeps,Gabriele Muccino
Anna Karenina,Joe Wright
Beasts of the Southern Wild,Benh Zeitlin
Silent House,Chris Kentis
Silent House,Laura Lau
Cirque Du Soleil:Worlds Away,Andrew Adamson
People Like Us,Alex Kurtzman
Gone,Heitor Dhalia
The Words,Brian Klugman
The Words,Lee Sternthal
Fun Size,Josh Schwartz
Bernie,Richard Linklater
Salmon Fishing in the Yemen,Lasse Hallstrom
Arbitrage,Nicholas Jarecki
Promised Land (2012),Gus Van Sant
Seeking a Friend for the End of the World,Lorene Scafaria
The Collection,Marcus Dunstan
Amour,Michael Haneke
Hitchcock,Sacha Gervasi
Chasing Mavericks,Michael Apted
Chasing Mavericks,Curtis Hanson
For Greater Glory,Dean Wright
Won't Back Down,Daniel Barnz
The Apparition,Todd Lincoln
"Jeff, Who Lives at Home",Jay Duplass
"Jeff, Who Lives at Home",Mark Duplass
The Raid:Redemption,Gareth Evans
Safety Not Guaranteed,Colin Trevorrow
Robot & Frank,Jake Schreier
Jiro Dreams of Sushi,David Gelb
Ruby Sparks,Jonathan Dayton
Ruby Sparks,Valerie Faris
Rust and Bone,Jacques Audiard
Monsieur Lazhar (U.S.-only),Philippe Falardeau
Footnote,Joseph Cedar
Killer Joe,William Friedkin
Your Sister's Sister,Lynn Shelton
Marley,Kevin Macdonald
Take This Waltz,Sarah Polley
Headhunters,Morten Tyldum
Damsels in Distress,Whit Stillman
Rampart,Oren Moverman
Darling Companion,Lawrence Kasdan
Coriolanus,Ralph Fiennes
The Paperboy,Lee Daniels
2 Days in New York,Julie Delpy
Not Fade Away,David Chase
W.E.,Madonna
Being Flynn,Paul Weitz
Bachelorette,Leslye Headland
Seeking Justice,Roger Donaldson
Sound of My Voice,Zal Batmanglij
Smashed,James Ponsoldt
The Lady,Luc Besson
Red Hook Summer,Spike Lee
Liberal Arts,Josh Radnor
The Flowers of War,Zhang Yimou
Stolen (2012),Simon West
Trishna,Michael Winterbottom
Middle of Nowhere (2012),Ava DuVernay
Neil Young Journeys,Jonathan Demme
Easy Money (2012),Daniel Espinosa
10 Years,Jamie Linden
Battlefield America,Chris Stokes
Dark Horse,Todd Solondz
Bullhead,Michael Roskam
God Bless America,Bobcat Goldthwait
The Magic of Belle Isle,Rob Reiner
The Invisible War,Kirby Dick
Intruders,Juan Carlos Fresnadillo
The Details,Jacob Aaron Estes
Red Lights (2012),Rodrigo Cortes
Fat Kid Rules the World,Matthew Lillard
Mansome,Morgan Spurlock
Comic-Con Episode IV:A Fan's Hope,Morgan Spurlock
The Bay,Barry Levinson
Lay the Favorite,Stephen Frears
The Color Wheel,Alex Ross Perry
Virginia,Dustin Lance Black
The Do-Deca-Pentathlon,Jay Duplass
The Do-Deca-Pentathlon,Mark Duplass
The Babymakers,Jay Chandrasekhar
Roadie (2012),Michael Cuesta
Bringing Up Bobby,Famke Janssen
Tomorrow When the War Began,Stuart Beattie
Vamps,Amy Heckerling
Harry Potter and the Deathly Hallows Part 2,David Yates
Transformers:Dark of the Moon,Michael Bay
The Twilight Saga:Breaking Dawn Part 1,Bill Condon
The Hangover Part II,Todd Phillips
Pirates of the Caribbean:On Stranger Tides,Rob Marshall
Fast Five,Justin Lin
Mission:Impossible - Ghost Protocol,Brad Bird
Cars 2,John Lasseter
Cars 2,Brad Lewis
Sherlock Holmes:A Game of Shadows,Guy Ritchie
Thor,Kenneth Branagh
Rise of the Planet of the Apes,Rupert Wyatt
Captain America:The First Avenger,Joe Johnston
The Help,Tate Taylor
Bridesmaids,Paul Feig
Kung Fu Panda 2,Jennifer Yuh Nelson
Puss in Boots,Chris Miller
X-Men:First Class,Matthew Vaughn
Rio,Carlos Saldanha
The Smurfs,Raja Gosnell
Alvin and the Chipmunks:Chipwrecked,Mike Mitchell
Super 8,J.J. Abrams
Rango,Gore Verbinski
Horrible Bosses,Seth Gordon
Green Lantern,Martin Campbell
Hop,Tim Hill
Paranormal Activity 3,Henry Joost
Paranormal Activity 3,Ariel Schulman
Just Go With It,Dennis Dugan
The Girl with the Dragon Tattoo (2011),David Fincher
Bad Teacher,Jake Kasdan
Cowboys & Aliens,Jon Favreau
Gnomeo and Juliet,Kelly Asbury
The Green Hornet,Michel Gondry
Real Steel,Shawn Levy
"Crazy, Stupid, Love.",Glenn Ficarra
"Crazy, Stupid, Love.",John Requa
Battle:Los Angeles,Jonathan Liebesman
Immortals,Tarsem
The Descendants,Alexander Payne
Zookeeper,Frank Coraci
War Horse,Steven Spielberg
Limitless,Neil Burger
Tower Heist,Brett Ratner
The Adventures of Tintin,Steven Spielberg
Contagion,Steven Soderbergh
We Bought a Zoo,Cameron Crowe
Moneyball,Bennett Miller
Jack and Jill,Dennis Dugan
Hugo,Martin Scorsese
Justin Bieber:Never Say Never,Jon Chu
No Strings Attached,Ivan Reitman
Mr. Popper's Penguins,Mark S. Waters
Happy Feet Two,George Miller
Unknown,Jaume Collet-Serra
The Adjustment Bureau,George Nolfi
Water for Elephants,Francis Lawrence
The Lincoln Lawyer,Brad Furman
Midnight in Paris,Woody Allen
Friends with Benefits,Will Gluck
I Am Number Four,D.J. Caruso
Source Code,Duncan Jones
New Year's Eve,Garry Marshall
Insidious,James Wan
Tyler Perry's Madea's Big Happy Family,Tyler Perry
Diary of a Wimpy Kid:Rodrick Rules,David Bowers
Footloose (2011),Craig Brewer
The Dilemma,Ron Howard
Arthur Christmas,Sarah Smith
Hall Pass,The Farrelly Bros.
The Artist,Michel Hazanavicius
Soul Surfer,Sean McNamara
Final Destination 5,Steven Quale
The Ides of March,George Clooney
Hanna,Joe Wright
Something Borrowed,Luke Greenfield
Spy Kids:All the Time in the World,Robert Rodriguez
Scream 4,Wes Craven
"Big Mommas:Like Father, Like Son",John Whitesell
Red Riding Hood,Catherine Hardwicke
In Time,Andrew Niccol
Paul,Greg Mottola
J. Edgar,Clint Eastwood
The Roommate,Christian E. Christiansen
Jumping the Broom,Salim Akil
The Change-Up,David Dobkin
30 Minutes or Less,Ruben Fleischer
Colombiana,Olivier Megaton
Sucker Punch,Zack Snyder
Larry Crowne,Tom Hanks
A Very Harold & Kumar 3D Christmas,Todd Strauss-Schulson
Drive (2011),Nicolas Winding Refn
50/50,Jonathan Levine
Courageous,Alex Kendrick
The Rite,Mikael Hafstrom
Arthur (2011),Jason Winer
Extremely Loud & Incredibly Close,Stephen Daldry
The Debt,John Madden
The Sitter,David Gordon Green
Priest,Scott Charles Stewart
The Mechanic,Simon West
Abduction,John Singleton
Beastly,Daniel Barnz
Winnie the Pooh,Don Hall
Killer Elite,Gary McKendry
Season of the Witch,Dominic Sena
Our Idiot Brother,Jesse Peretz
"Tinker, Tailor, Soldier, Spy",Tomas Alfredson
Don't Be Afraid of the Dark,Troy Nixey
Sanctum,Alister Grierson
Monte Carlo,Thomas Bezucha
Your Highness,David Gordon Green
The Darkest Hour,Chris Gorak
Mars Needs Moms,Simon Wells
Dream House,Jim Sheridan
Conan the Barbarian (2011),Marcus Nispel
The Three Musketeers (2011),Paul W.S. Anderson
The Eagle,Kevin Macdonald
Shark Night 3D,David R. Ellis
Fright Night (2011),Craig Gillespie
Young Adult,Jason Reitman
Judy Moody and the NOT Bummer Summer,John Schultz
What's Your Number?,Mark Mylod
One Day,Lone Scherfig
Warrior,Gavin O'Connor
The Conspirator,Robert Redford
Jane Eyre,Cary Fukunaga
Drive Angry,Patrick Lussier
Straw Dogs (2011),Rod Lurie
Win Win,Tom McCarthy
Prom,Joe Nussbaum
I Don't Know How She Does It,Douglas McGrath
Johnny English Reborn,Oliver Parker
The Big Year,David Frankel
Take Me Home Tonight,Michael Dowse
Cedar Rapids,Miguel Arteta
Beginners,Mike Mills
The Guard,John Michael McDonagh
Margin Call,J.C. Chandor
Cave of Forgotten Dreams,Werner Herzog
Anonymous,Roland Emmerich
The Company Men,John Wells
Shame,Steve McQueen (II)
The Skin I Live In,Pedro Almodovar
The Way Back,Peter Weir
Carnage (2011),Roman Polanski
Bucky Larson:Born to Be a Star,Tom Brady
Incendies (U.S. only),Denis Villeneuve
The Trip (2011),Michael Winterbottom
A Better Life,Chris Weitz
We Need to Talk About Kevin,Lynne Ramsay
Take Shelter,Jeff Nichols
I Am,Tom Shadyac
The Devil's Double,Lee Tamahori
Another Earth,Mike Cahill
Dylan Dog:Dead of Night,Kevin Munroe
Red State,Kevin Smith
Attack the Block,Joe Cornish
Meek's Cutoff,Kelly Reichardt
The Beaver,Jodie Foster
Higher Ground,Vera Farmiga
Tabloid,Errol Morris
Terri,Azazel Jacobs
POM Wonderful Presents:The Greatest Movie Ever Sold,Morgan Spurlock
The Future,Miranda July
Machine Gun Preacher,Marc Forster
Pearl Jam Twenty,Cameron Crowe
Hesher,Spencer Susser
Miral,Julian Schnabel
The First Grader,Justin Chadwick
Super,James Gunn
In the Land of Blood and Honey,Angelina Jolie
Life in a Day,Kevin Macdonald
Brighton Rock,Rowan Joffe
Into the Abyss,Werner Herzog
HappyThankYouMorePlease,Josh Radnor
October Baby,Andrew Erwin
October Baby,Jon Erwin
Restless (2011),Gus Van Sant
I Will Follow,Ava DuVernay
1911,Jackie Chan
I Saw the Devil,Jee-woon Kim
Trust (2011),David Schwimmer
Kaboom,Gregg Araki
Henry's Crime,Malcolm Venville
Elite Squad:The Enemy Within,Jose Padilha
Heartbeats,Xavier Dolan
Public Speaking,Martin Scorsese
Margaret,Kenneth Lonergan
11-11-11,Darren Lynn Bousman
Small Town Murder Songs,Ed Gass-Donnelly
White Irish Drinkers,John Gray
Cat Run,John Stockwell
Waiting for Forever,James Keach
The Other Woman,Don Roos
Trespass (2011),Joel Schumacher
Vanishing on 7th Street,Brad Anderson
5 Days of War,Renny Harlin
London Boulevard,William Monahan
Anchor Baby,Lonzo Nzekwe
Sympathy for Delicious,Mark Ruffalo
Frankie & Alice,Geoffrey Sax
I Melt With You,Mark Pellington
Flypaper,Rob Minkoff
Burke and Hare,John Landis
Toy Story 3,Lee Unkrich
Alice in Wonderland (2010),Tim Burton
Iron Man 2,Jon Favreau
The Twilight Saga:Eclipse,David Slade
Harry Potter and the Deathly Hallows Part 1,David Yates
Inception,Christopher Nolan
Despicable Me,Pierre Coffin
Despicable Me,Chris Renaud
Shrek Forever After,Mike Mitchell
How to Train Your Dragon,Dean DeBlois
How to Train Your Dragon,Chris Sanders
The Karate Kid,Harald Zwart
Tron Legacy,Joseph Kosinski
True Grit,Ethan Coen
True Grit,Joel Coen
Clash of the Titans (2010),Louis Leterrier
Grown Ups,Dennis Dugan
Little Fockers,Paul Weitz
Megamind,Tom McGrath
The King's Speech,Tom Hooper
The Last Airbender,M. Night Shyamalan
Shutter Island,Martin Scorsese
The Other Guys,Adam McKay
Salt,Phillip Noyce
Jackass 3-D,Jeff Tremaine
Valentine's Day,Garry Marshall
Black Swan,Darren Aronofsky
Robin Hood,Ridley Scott
The Chronicles of Narnia:The Voyage of the Dawn Treader,Michael Apted
The Expendables,Sylvester Stallone
Due Date,Todd Phillips
Date Night,Shawn Levy
The Social Network,David Fincher
Sex and the City 2,Michael Patrick King
The Book of Eli,Albert Hughes
The Book of Eli,Allen Hughes
The Fighter,David O. Russell
The Town,Ben Affleck
Prince of Persia:The Sands of Time,Mike Newell
Red,Robert Schwentke
Percy Jackson & The Olympians:The Lightning Thief,Chris Columbus
Paranormal Activity 2,Tod Williams
Unstoppable,Tony Scott
Eat Pray Love,Ryan Murphy
Dear John,Lasse Hallstrom
The A-Team,Joe Carnahan
Knight & Day,James Mangold
Dinner for Schmucks,Jay Roach
The Bounty Hunter,Andy Tennant
Diary of a Wimpy Kid,Thor Freudenthal
The Sorcerer's Apprentice,Jon Turteltaub
The Last Song,Julie Anne Robinson
The Wolfman,Joe Johnston
Get Him to the Greek,Nick Stoller
Resident Evil:Afterlife,Paul W.S. Anderson
Tyler Perry's Why Did I Get Married Too?,Tyler Perry
Tooth Fairy,Michael Lembeck
Secretariat,Randall Wallace
Easy A,Will Gluck
Takers,John Luessenhop
Legend of the Guardians:The Owls of Ga'Hoole,Zack Snyder
Life as We Know It,Greg Berlanti
Letters to Juliet,Gary Winick
Wall Street:Money Never Sleeps,Oliver Stone
Hot Tub Time Machine,Steve Pink
Kick-Ass,Matthew Vaughn
Killers,Robert Luketic
Cop Out,Kevin Smith
Cats & Dogs:The Revenge of Kitty Galore,Brad Peyton
Edge of Darkness,Martin Campbell
Gulliver's Travels,Rob Letterman
Death at a Funeral (2010),Neil LaBute
Step Up 3-D,Jon Chu
The Last Exorcism,Daniel Stamm
Legion (2010),Scott Charles Stewart
Burlesque,Steven Antin
For Colored Girls,Tyler Perry
Vampires Suck,Jason Friedberg
Vampires Suck,Aaron Seltzer
The American,Anton Corbijn
Green Zone,Paul Greengrass
Marmaduke,Tom Dey
Devil,Drew Dowdle
Devil,John Erick Dowdle
Hereafter,Clint Eastwood
When in Rome,Mark Steven Johnson
Love and Other Drugs,Edward Zwick
She's Out of My League,Jim Field Smith
Scott Pilgrim vs. the World,Edgar Wright
Charlie St. Cloud,Burr Steers
How Do You Know,James L. Brooks
Nanny McPhee Returns,Susanna White
The Switch,Josh Gordon
The Switch,Will Speck
Brooklyn's Finest,Antoine Fuqua
Machete,Robert Rodriguez
Ramona and Beezus,Elizabeth Allen (II)
You Again,Andy Fickman
Lottery Ticket,Erik White
From Paris with Love,Pierre Morel
Faster,"George Tillman, Jr."
Skyline,Greg Strause
The Next Three Days,Paul Haggis
The Kids Are All Right,Lisa Cholodenko
Our Family Wedding,Rick Famuyiwa
Country Strong,Shana Feste
Remember Me,Allen Coulter
127 Hours,Danny Boyle
Going the Distance,Nanette Burstein
Furry Vengeance,Roger Kumble
Splice,Vincenzo Natali
The Ghost Writer,Roman Polanski
Youth in Revolt,Miguel Arteta
My Soul to Take,Wes Craven
Case 39,Christian Alvart
Let Me In,Matt Reeves
Extraordinary Measures,Tom Vaughan
Jonah Hex,Jimmy Hayward
Blue Valentine,Derek Cianfrance
Fair Game (2010),Doug Liman
MacGruber,Jorma Taccone
Cyrus,Jay Duplass
Cyrus,Mark Duplass
The Last Station,Michael Hoffman
Winter's Bone,Debra Granik
"Waiting for""Superman""",Davis Guggenheim
It's Kind of a Funny Story,Anna Boden
It's Kind of a Funny Story,Ryan Fleck
The Warrior's Way,Sngmoo Lee
Inside Job,Charles Ferguson
Greenberg,Noah Baumbach
Please Give,Nicole Holofcener
You Will Meet a Tall Dark Stranger,Woody Allen
Catfish,Henry Joost
Catfish,Ariel Schulman
Another Year,Mike Leigh
Chloe,Atom Egoyan
Never Let Me Go,Mark Romanek
The Illusionist (2010),Sylvain Chomet
Rabbit Hole,John Cameron Mitchell
"I Love You, Phillip Morris",Glenn Ficarra
"I Love You, Phillip Morris",John Requa
Stone,John Curran
Somewhere,Sofia Coppola
Flipped,Rob Reiner
Micmacs,Jean-Pierre Jeunet
Buried,Rodrigo Cortes
Animal Kingdom,David Michod
Casino Jack,George Hickenlooper
Middle Men,George Gallo
Agora,Alejandro Amenabar
All Good Things,Andrew Jarecki
Tamara Drewe,Stephen Frears
Ondine,Neil Jordan
Jack Goes Boating,Philip Seymour Hoffman
I'm Still Here,Casey Affleck
Enter the Void,Gaspar Noe
Life During Wartime,Todd Solondz
The Tempest,Julie Taymor
Monsters,Gareth Edwards
The Killer Inside Me,Michael Winterbottom
South of the Border,Oliver Stone
"A Woman, A Gun and A Noodle Shop",Zhang Yimou
Twelve,Joel Schumacher
Love Ranch,Taylor Hackford
"The Good, the Bad, the Weird",Jee-woon Kim
The Greatest (2010),Shana Feste
OSS 117:Lost in Rio,Michel Hazanavicius
Crazy on the Outside,Tim Allen
Waking Sleeping Beauty,Don Hahn
Tales from Earthsea,Goro Miyazaki
44 Inch Chest,Malcolm Venville
Guy and Madeline on a Park Bench,Damien Chazelle
Valhalla Rising,Nicolas Winding Refn
And Everything is Going Fine,Steven Soderbergh
Red Hill,Patrick Hughes
Paper Man,Kieran Mulroney
Paper Man,Michele Mulroney
The Dry Land,Ryan Piers Williams
The Thorn in the Heart,Michel Gondry
Inhale,Baltasar Kormakur
