MOVIE_NAME,WRITER
Hell Baby,Thomas Lennon & Ben Garant
Some Velvet Morning,Neil LaBute
Plush,Catherine Hardwicke
Marvel's The Avengers,Zak Penn
Marvel's The Avengers,Joss Whedon
The Dark Knight Rises,David S. Goyer
The Dark Knight Rises,Christopher Nolan
The Hunger Games,Suzanne Collins
The Hunger Games,Billy Ray
The Hunger Games,Gary Ross
Skyfall,John Logan
Skyfall,Neal Purvis
Skyfall,Robert Wade
The Hobbit:An Unexpected Journey,Philippa Boyens
The Hobbit:An Unexpected Journey,Guillermo del Toro
The Hobbit:An Unexpected Journey,Peter Jackson
The Hobbit:An Unexpected Journey,Fran Walsh
The Twilight Saga:Breaking Dawn Part 2,Melissa Rosenberg
The Amazing Spider-Man,Steve Kloves
The Amazing Spider-Man,Alvin Sargent
The Amazing Spider-Man,James Vanderbilt
Brave,Mark Andrews
Brave,Brenda Chapman
Brave,Irene Mecchi
Brave,Steve Purcell
Ted,Seth MacFarlane
Ted,Alec Sulkin
Ted,Wellesley Wild
Madagascar 3:Europe's Most Wanted,Noah Baumbach
Madagascar 3:Europe's Most Wanted,Eric Darnell
Dr. Seuss' The Lorax,Ken Daurio
Dr. Seuss' The Lorax,Cinco Paul
Wreck-It Ralph,Phil Johnston
Wreck-It Ralph,Jennifer Lee
Lincoln,Tony Kushner
MIB 3,Etan Cohen
Django Unchained,Quentin Tarantino
Snow White and the Huntsman,Hossein Amini
Snow White and the Huntsman,Evan Daugherty
Snow White and the Huntsman,John Lee Hancock
Les Miserables (2012),William Nicholson
Hotel Transylvania,Peter Baynham
Hotel Transylvania,Robert Smigel
Taken 2,Luc Besson
Taken 2,Robert Mark Kamen
21 Jump Street,Michael Bacall
21 Jump Street,Jonah Hill
Argo,Chris Terrio
Silver Linings Playbook,David O. Russell
Prometheus,Damon Lindelof
Prometheus,Jon Spaihts
Safe House,David Guggenheim
The Vow,Abby Kohn
The Vow,Marc Silverstein
The Vow,Michael Sucsy
Life of Pi,David Magee
Magic Mike,Reid Carolin
The Bourne Legacy,Dan Gilroy
The Bourne Legacy,Tony Gilroy
Journey 2:The Mysterious Island,Brian Gunn
Journey 2:The Mysterious Island,Mark Gunn
Rise of the Guardians,David Lindsay-Abaire
Zero Dark Thirty,Mark Boal
Flight,John Gatins
Think Like a Man,Keith Merryman
Think Like a Man,David A. Newman
The Campaign,Shawn Harwell
The Campaign,Chris Henchy
The Expendables 2,Sylvester Stallone
The Expendables 2,Richard Wenk
Wrath of the Titans,Greg Berlanti
Wrath of the Titans,David Leslie Johnson
Wrath of the Titans,Dan Mazeau
Jack Reacher,Christopher McQuarrie
Dark Shadows,John August
Dark Shadows,Seth Grahame-Smith
Parental Guidance,Lisa Addario
Parental Guidance,Joe Syracuse
John Carter,Mark Andrews
John Carter,Michael Chabon
John Carter,Andrew Stanton
Act of Valor,Kurt Johnstad
This Is 40,Judd Apatow
Contraband,Aaron Guzikowski
Looper,Rian Johnson
Tyler Perry's Madea's Witness Protection,Tyler Perry
Battleship,Erich Hoeber
Battleship,Jon Hoeber
Pitch Perfect,Kay Cannon
Mirror Mirror,Jason Keller
Mirror Mirror,Melisa Wallack
Chronicle (2012),Max Landis
Chronicle (2012),Josh Trank
Hope Springs,Vanessa Taylor
Underworld Awakening,Allison Burnett
Underworld Awakening,Len Wiseman
The Lucky One,Will Fetters
The Dictator,Alec Berg
The Dictator,Sacha Baron Cohen
The Dictator,David Mandel
The Dictator,Jeff Schaffer
Total Recall (2012),Mark Bomback
Total Recall (2012),Kurt Wimmer
American Reunion,Jon Hurwitz
American Reunion,Hayden Schlossberg
This Means War,Timothy Dowling
This Means War,Simon Kinberg
Project X,Michael Bacall
Project X,Matt Drake
The Woman in Black,Jane Goldman
Paranormal Activity 4,Christopher B. Landon
The Devil Inside,William Brent Bell
The Devil Inside,Matthew Peterman
The Odd Life of Timothy Green,Peter Hedges
Ghost Rider:Spirit of Vengeance,Scott M. Gimple
Ghost Rider:Spirit of Vengeance,David S. Goyer
Ghost Rider:Spirit of Vengeance,Seth Hoffman
The Grey,Joe Carnahan
The Grey,Ian Mackenzie Jeffers
Red Tails,Aaron McGruder
Red Tails,John Ridley
The Possession,Juliet Snowden
The Possession,Stiles White
Sinister,C. Robert Cargill
Sinister,Scott Derrickson
Moonrise Kingdom,Wes Anderson
Moonrise Kingdom,Roman Coppola
Here Comes the Boom,Kevin James
Here Comes the Boom,Allan Loeb
Here Comes the Boom,Rock Reuben
The Three Stooges,Mike Cerrone
The Three Stooges,The Farrelly Bros.
Resident Evil:Retribution,Paul W.S. Anderson
The Cabin in the Woods,Drew Goddard
The Cabin in the Woods,Joss Whedon
What to Expect When You're Expecting,Shauna Cross
What to Expect When You're Expecting,Heather Hach
End of Watch,David Ayer
Rock of Ages,Chris D'Arienzo
Rock of Ages,Allan Loeb
Abraham Lincoln:Vampire Hunter,Seth Grahame-Smith
Abraham Lincoln:Vampire Hunter,Simon Kinberg
Lawless,Nick Cave
The Guilt Trip,Dan Fogelman
That's My Boy,David Caspe
Trouble with the Curve,Randy Brown
The Watch,Evan Goldberg
The Watch,Seth Rogen
Frankenweenie,John August
Frankenweenie,Tim Burton
Step Up Revolution,Jenny Mayer
Tyler Perry's Good Deeds,Tyler Perry
2016 Obama's America,Dinesh D'Souza
2016 Obama's America,John Sullivan
House at the End of The Street,David Loucka
The Pirates! Band of Misfits,Gideon Defoe
Joyful Noise,Todd Graff
Chimpanzee,Don Hahn
The Five-Year Engagement,Jason Segel
The Five-Year Engagement,Nick Stoller
Cloud Atlas,Tom Tykwer
Cloud Atlas,Lilly & Lana Wachowski
One For the Money,Liz Brixius
One For the Money,Karen Ray
One For the Money,Stacy Sherman
Alex Cross,Marc Moss
Alex Cross,Kerry Williamson
Sparkle (2012),Mara Brock Akil
Premium Rush,David Koepp
Big Miracle,Jack Amiel
Big Miracle,Michael Begler
The Secret World of Arrietty,Hayao Miyazaki
Haywire,Lem Dobbs
Man on a Ledge,Pablo F. Fenjves
A Thousand Words,Steve Koren
Chernobyl Diaries,Oren Peli
The Perks of Being a Wallflower,Stephen Chbosky
Silent Hill:Revelation 3D,Michael J. Bassett
Wanderlust,David Wain
Safe (2012),Boaz Yakin
To Rome with Love,Woody Allen
The Master,Paul Thomas Anderson
The Raven,Ben Livingston
The Raven,Hannah Shakespeare
The Man with the Iron Fists,Eli Roth
Killing Them Softly,Andrew Dominik
Lockout,Luc Besson
Dredd,Alex Garland
Playing for Keeps,Robbie Fox
Beasts of the Southern Wild,Lucy Alibar
Beasts of the Southern Wild,Benh Zeitlin
Silent House,Laura Lau
Cirque Du Soleil:Worlds Away,Andrew Adamson
People Like Us,Alex Kurtzman
People Like Us,Jody Lambert
People Like Us,Roberto Orci
Gone,Allison Burnett
The Words,Brian Klugman
The Words,Lee Sternthal
Fun Size,Max Werner
Bernie,Richard Linklater
Salmon Fishing in the Yemen,Simon Beaufoy
Arbitrage,Nicholas Jarecki
Promised Land (2012),Matt Damon
Promised Land (2012),John Krasinski
Seeking a Friend for the End of the World,Lorene Scafaria
The Collection,Marcus Dunstan
The Collection,Patrick Melton
Amour,Michael Haneke
Hitchcock,John J. McLaughlin
Chasing Mavericks,Kario Salem
Won't Back Down,Daniel Barnz
Won't Back Down,Brin Hill
The Apparition,Todd Lincoln
"Jeff, Who Lives at Home",Jay Duplass
"Jeff, Who Lives at Home",Mark Duplass
Goon,Jay Baruchel
Goon,Evan Goldberg
The Raid:Redemption,Gareth Evans
Safety Not Guaranteed,Derek Connolly
Celeste and Jesse Forever,Rashida Jones
Albert Nobbs,Glenn Close
Ruby Sparks,Zoe Kazan
Monsieur Lazhar (U.S.-only),Philippe Falardeau
Footnote,Joseph Cedar
Killer Joe,Tracy Letts
Your Sister's Sister,Lynn Shelton
Damsels in Distress,Whit Stillman
Rampart,Oren Moverman
Darling Companion,Lawrence Kasdan
Coriolanus,John Logan
The Paperboy,Lee Daniels
2 Days in New York,Julie Delpy
Not Fade Away,David Chase
W.E.,Madonna
Bachelorette,Leslye Headland
Sound of My Voice,Zal Batmanglij
Sound of My Voice,Brit Marling
Smashed,James Ponsoldt
Piranha 3DD,Marcus Dunstan
Piranha 3DD,Patrick Melton
Red Hook Summer,Spike Lee
Liberal Arts,Josh Radnor
Stolen (2012),David Guggenheim
Middle of Nowhere (2012),Ava DuVernay
10 Years,Jamie Linden
Battlefield America,Chris Stokes
Dark Horse,Todd Solondz
God Bless America,Bobcat Goldthwait
The Magic of Belle Isle,Rob Reiner
360,Peter Morgan
The Details,Jacob Aaron Estes
Red Lights (2012),Rodrigo Cortes
Comic-Con Episode IV:A Fan's Hope,Morgan Spurlock
Comic-Con Episode IV:A Fan's Hope,Joss Whedon
The Color Wheel,Alex Ross Perry
Virginia,Dustin Lance Black
The Do-Deca-Pentathlon,Jay Duplass
The Do-Deca-Pentathlon,Mark Duplass
Roadie (2012),Michael Cuesta
Bringing Up Bobby,Famke Janssen
Tomorrow When the War Began,Stuart Beattie
Vamps,Amy Heckerling
Death of a Superhero,Anthony McCarten
Apartment 143,Rodrigo Cortes
Harry Potter and the Deathly Hallows Part 2,Steve Kloves
Transformers:Dark of the Moon,Ehren Kruger
The Twilight Saga:Breaking Dawn Part 1,Melissa Rosenberg
The Hangover Part II,Craig Mazin
The Hangover Part II,Todd Phillips
Pirates of the Caribbean:On Stranger Tides,Ted Elliott
Pirates of the Caribbean:On Stranger Tides,Terry Rossio
Fast Five,Chris Morgan
Mission:Impossible - Ghost Protocol,Josh Appelbaum
Mission:Impossible - Ghost Protocol,Andre Nemec
Cars 2,Dan Fogelman
Cars 2,John Lasseter
Sherlock Holmes:A Game of Shadows,Kieran Mulroney
Sherlock Holmes:A Game of Shadows,Michele Mulroney
Thor,Ashley Miller
Thor,Don Payne
Thor,Zack Stentz
Rise of the Planet of the Apes,Rick Jaffa
Rise of the Planet of the Apes,Amanda Silver
Captain America:The First Avenger,Christopher Markus
Captain America:The First Avenger,Stephen McFeely
The Help,Tate Taylor
Bridesmaids,Kristen Wiig
Kung Fu Panda 2,Jonathan Aibel
Kung Fu Panda 2,Glenn Berger
Puss in Boots,David H. Steinberg
Puss in Boots,Tom Wheeler
Puss in Boots,Jon Zack
X-Men:First Class,Jane Goldman
X-Men:First Class,Ashley Miller
X-Men:First Class,Bryan Singer
X-Men:First Class,Zack Stentz
X-Men:First Class,Matthew Vaughn
Rio,Sam Harper
Rio,Don Rhymer
Rio,Carlos Saldanha
Rio,Joshua Sternin
Rio,Jeffrey Ventimilia
The Smurfs,J. David Stem
The Smurfs,David N. Weiss
Alvin and the Chipmunks:Chipwrecked,Jonathan Aibel
Alvin and the Chipmunks:Chipwrecked,Glenn Berger
Super 8,J.J. Abrams
Rango,John Logan
Rango,Gore Verbinski
Horrible Bosses,Jonathan M. Goldstein
Horrible Bosses,Michael Markowitz
Green Lantern,Greg Berlanti
Green Lantern,Marc Guggenheim
Hop,Ken Daurio
Hop,Brian Lynch
Hop,Cinco Paul
Paranormal Activity 3,Christopher B. Landon
Just Go With It,Timothy Dowling
Just Go With It,Allan Loeb
The Girl with the Dragon Tattoo (2011),Steven Zaillian
Cowboys & Aliens,Mark Fergus
Cowboys & Aliens,Alex Kurtzman
Cowboys & Aliens,Damon Lindelof
Cowboys & Aliens,Roberto Orci
Cowboys & Aliens,Hawk Ostby
The Green Hornet,Evan Goldberg
The Green Hornet,Seth Rogen
The Muppets,Jason Segel
The Muppets,Nick Stoller
Real Steel,John Gatins
Real Steel,Dan Gilroy
"Crazy, Stupid, Love.",Dan Fogelman
Battle:Los Angeles,Christopher Bertolini
The Descendants,Alexander Payne
Zookeeper,Nick Bakay
Zookeeper,Kevin James
Zookeeper,Rock Reuben
Zookeeper,David Ronn
Zookeeper,Jay Scherick
Limitless,Leslie Dixon
Tower Heist,Ted Griffin
Tower Heist,Jeff Nathanson
The Adventures of Tintin,Joe Cornish
The Adventures of Tintin,Steven Moffat
The Adventures of Tintin,Edgar Wright
Contagion,Scott Z. Burns
We Bought a Zoo,Cameron Crowe
We Bought a Zoo,Aline Brosh McKenna
Moneyball,Aaron Sorkin
Moneyball,Steven Zaillian
Jack and Jill,Steve Koren
Hugo,John Logan
Dolphin Tale,Noam Dromi
Dolphin Tale,Karen Janszen
No Strings Attached,Elizabeth Meriwether
Mr. Popper's Penguins,Sean Anders
Happy Feet Two,George Miller
The Adjustment Bureau,George Nolfi
Water for Elephants,Richard LaGravenese
The Lincoln Lawyer,John Romano
Midnight in Paris,Woody Allen
Friends with Benefits,Will Gluck
Friends with Benefits,Keith Merryman
Friends with Benefits,David A. Newman
I Am Number Four,Alfred Gough & Miles Millar
I Am Number Four,Marti Noxon
Source Code,Ben Ripley
New Year's Eve,Katherine Fugate
Insidious,Leigh Whannell
Tyler Perry's Madea's Big Happy Family,Tyler Perry
Footloose (2011),Craig Brewer
The Dilemma,Allan Loeb
Arthur Christmas,Peter Baynham
Arthur Christmas,Sarah Smith
Hall Pass,The Farrelly Bros.
The Artist,Michel Hazanavicius
Soul Surfer,Sean McNamara
Final Destination 5,Eric Heisserer
The Ides of March,George Clooney
The Ides of March,Grant Heslov
Something Borrowed,Jennie Snyder
Spy Kids:All the Time in the World,Robert Rodriguez
Scream 4,Kevin Williamson
"Big Mommas:Like Father, Like Son",Matthew Fogel
"Big Mommas:Like Father, Like Son",Don Rhymer
Red Riding Hood,David Leslie Johnson
In Time,Andrew Niccol
Paul,Nick Frost
Paul,Simon Pegg
J. Edgar,Dustin Lance Black
The Roommate,Sonny Mallhi
Jumping the Broom,Arlene Gibbs
Jumping the Broom,Elizabeth Hunter
The Change-Up,Jon Lucas
The Change-Up,Scott Moore
30 Minutes or Less,Michael Diliberti
Colombiana,Luc Besson
Colombiana,Robert Mark Kamen
Sucker Punch,Zack Snyder
Larry Crowne,Tom Hanks
Larry Crowne,Nia Vardalos
A Very Harold & Kumar 3D Christmas,Jon Hurwitz
A Very Harold & Kumar 3D Christmas,Hayden Schlossberg
Drive (2011),Hossein Amini
50/50,Will Reiser
Courageous,Alex Kendrick
Courageous,Stephen Kendrick
Arthur (2011),Peter Baynham
Extremely Loud & Incredibly Close,Eric Roth
The Debt,Jane Goldman
The Debt,Peter Straughan
The Debt,Matthew Vaughn
The Sitter,Brian Gatewood
The Sitter,Alessandro Tanaka
The Iron Lady,Abi Morgan
Priest,Cory Goodman
The Mechanic,Richard Wenk
Beastly,Daniel Barnz
Killer Elite,Gary McKendry
Killer Elite,Matt Sherring
Season of the Witch,Bragi Schut
"Tinker, Tailor, Soldier, Spy",Bridget O'Connor
"Tinker, Tailor, Soldier, Spy",Peter Straughan
Don't Be Afraid of the Dark,Guillermo del Toro
Monte Carlo,Thomas Bezucha
Monte Carlo,April Blair
Monte Carlo,Maria Maggenti
Your Highness,Ben Best
Your Highness,Danny McBride
The Darkest Hour,Leslie Bohem
The Darkest Hour,Jon Spaihts
Mars Needs Moms,Simon Wells
Dream House,David Loucka
Conan the Barbarian (2011),Thomas Dean Donnelly
Conan the Barbarian (2011),Sean Hood
Conan the Barbarian (2011),Joshua Oppenheimer
The Three Musketeers (2011),Andrew Davies
The Three Musketeers (2011),Alex Litvak
The Eagle,Jeremy Brock
Shark Night 3D,Will Hayes
Shark Night 3D,Jesse Studenberg
Fright Night (2011),Marti Noxon
Apollo 18,Cory Goodman
The Thing (2011),Eric Heisserer
Young Adult,Diablo Cody
What's Your Number?,Gabrielle Allan
What's Your Number?,Jennifer Crittenden
One Day,David Nicholls
Warrior,Cliff Dorfman
Warrior,Gavin O'Connor
Warrior,Anthony Tambakis
Drive Angry,Todd Farmer
Drive Angry,Patrick Lussier
Straw Dogs (2011),Rod Lurie
Win Win,Tom McCarthy
I Don't Know How She Does It,Aline Brosh McKenna
Kevin Hart:Laugh at My Pain,Kevin Hart
Cedar Rapids,Phil Johnston
Beginners,Mike Mills
A Dangerous Method,Christopher Hampton
The Guard,John Michael McDonagh
Margin Call,J.C. Chandor
Cave of Forgotten Dreams,Werner Herzog
Anonymous,John Orloff
The Company Men,John Wells
Shame,Steve McQueen (II)
Shame,Abi Morgan
The Skin I Live In,Pedro Almodovar
Carnage (2011),Roman Polanski
Carnage (2011),Yasmina Reza
Bucky Larson:Born to Be a Star,Adam Sandler
Bucky Larson:Born to Be a Star,Nick Swardson
The Grace Card,Howard Klausner
Incendies (U.S. only),Denis Villeneuve
We Need to Talk About Kevin,Rory Kinnear
We Need to Talk About Kevin,Lynne Ramsay
Take Shelter,Jeff Nichols
Another Earth,Mike Cahill
Another Earth,Brit Marling
Dylan Dog:Dead of Night,Thomas Dean Donnelly
Dylan Dog:Dead of Night,Joshua Oppenheimer
Red State,Kevin Smith
Attack the Block,Joe Cornish
Terri,Azazel Jacobs
POM Wonderful Presents:The Greatest Movie Ever Sold,Morgan Spurlock
The Future,Miranda July
Machine Gun Preacher,Jason Keller
Hesher,David Michod
Hesher,Spencer Susser
Super,James Gunn
In the Land of Blood and Honey,Angelina Jolie
Brighton Rock,Rowan Joffe
HappyThankYouMorePlease,Josh Radnor
October Baby,Jon Erwin
I Will Follow,Ava DuVernay
Kaboom,Gregg Araki
Henry's Crime,Sacha Gervasi
Elite Squad:The Enemy Within,Jose Padilha
Margaret,Kenneth Lonergan
11-11-11,Darren Lynn Bousman
Small Town Murder Songs,Ed Gass-Donnelly
White Irish Drinkers,John Gray
The Last Ride,Howard Klausner
Waiting for Forever,Steve Adams
The Other Woman,Don Roos
Trespass (2011),Karl Gajdusek
London Boulevard,William Monahan
Anchor Baby,Lonzo Nzekwe
I'm Not Jesus Mommy,Joseph Schneider
Flypaper,Jon Lucas
Flypaper,Scott Moore
Toy Story 3,Michael Arndt
Toy Story 3,John Lasseter
Toy Story 3,Andrew Stanton
Toy Story 3,Lee Unkrich
Alice in Wonderland (2010),Linda Woolverton
The Twilight Saga:Eclipse,Melissa Rosenberg
Harry Potter and the Deathly Hallows Part 1,Steve Kloves
Inception,Christopher Nolan
Despicable Me,Ken Daurio
Despicable Me,Cinco Paul
Shrek Forever After,Darren Lemke
How to Train Your Dragon,Dean DeBlois
How to Train Your Dragon,Chris Sanders
Tangled,Dan Fogelman
Tron Legacy,Adam Horowitz
Tron Legacy,Edward Kitsis
Tron Legacy,Brian Klugman
Tron Legacy,Steven Lisberger
Tron Legacy,Lee Sternthal
True Grit,Ethan Coen
True Grit,Joel Coen
Clash of the Titans (2010),Travis Beachem
Clash of the Titans (2010),Phil Hay
Clash of the Titans (2010),Matt Manfredi
Grown Ups,Adam Sandler
Grown Ups,Fred Wolf
The King's Speech,David Seidler
The Last Airbender,M. Night Shyamalan
Shutter Island,Laeta Kalogridis
The Other Guys,Chris Henchy
The Other Guys,Adam McKay
Salt,Brian Helgeland
Salt,Kurt Wimmer
Valentine's Day,Katherine Fugate
Valentine's Day,Abby Kohn
Valentine's Day,Marc Silverstein
Black Swan,Mark Heyman
Black Swan,John J. McLaughlin
Robin Hood,Brian Helgeland
The Chronicles of Narnia:The Voyage of the Dawn Treader,Christopher Markus
The Chronicles of Narnia:The Voyage of the Dawn Treader,Stephen McFeely
The Expendables,Sylvester Stallone
Due Date,Todd Phillips
Yogi Bear,Joshua Sternin
Yogi Bear,Jeffrey Ventimilia
The Social Network,Aaron Sorkin
Sex and the City 2,Michael Patrick King
The Book of Eli,Gary Whitta
The Town,Ben Affleck
The Town,Peter Craig
Prince of Persia:The Sands of Time,Carlo Bernard
Prince of Persia:The Sands of Time,Doug Miro
Prince of Persia:The Sands of Time,Boaz Yakin
Red,Erich Hoeber
Red,Jon Hoeber
Paranormal Activity 2,Christopher B. Landon
Unstoppable,Mark Bomback
Eat Pray Love,Ryan Murphy
Dear John,Jamie Linden
The A-Team,Skip Woods
Dinner for Schmucks,David Guion
Dinner for Schmucks,Michael Handelman
The Tourist,Christopher McQuarrie
The Sorcerer's Apprentice,Carlo Bernard
The Sorcerer's Apprentice,Doug Miro
A Nightmare on Elm Street (2010),Eric Heisserer
The Wolfman,Andrew Kevin Walker
Get Him to the Greek,Nick Stoller
Resident Evil:Afterlife,Paul W.S. Anderson
Tyler Perry's Why Did I Get Married Too?,Tyler Perry
Tooth Fairy,Randi Mayem Singer
Tooth Fairy,Joshua Sternin
Tooth Fairy,Jeffrey Ventimilia
Takers,John Luessenhop
Legend of the Guardians:The Owls of Ga'Hoole,John Orloff
Wall Street:Money Never Sleeps,Allan Loeb
Predators,Alex Litvak
Hot Tub Time Machine,Sean Anders
Hot Tub Time Machine,Josh Heald
Kick-Ass,Jane Goldman
Kick-Ass,Matthew Vaughn
Killers,Ted Griffin
Saw 3D,Marcus Dunstan
Saw 3D,Patrick Melton
Cats & Dogs:The Revenge of Kitty Galore,Ron Bencich
Cats & Dogs:The Revenge of Kitty Galore,Ron J. Friedman
Edge of Darkness,William Monahan
Gulliver's Travels,Nick Stoller
Legion (2010),Scott Charles Stewart
Burlesque,Steven Antin
For Colored Girls,Tyler Perry
Vampires Suck,Jason Friedberg
Vampires Suck,Aaron Seltzer
The American,Rowan Joffe
Green Zone,Brian Helgeland
Devil,M. Night Shyamalan
Hereafter,Peter Morgan
She's Out of My League,Sean Anders
Scott Pilgrim vs. the World,Michael Bacall
Scott Pilgrim vs. the World,Edgar Wright
Morning Glory,Aline Brosh McKenna
How Do You Know,James L. Brooks
Nanny McPhee Returns,Emma Thompson
The Switch,Allan Loeb
Machete,Robert Rodriguez
Lottery Ticket,Erik White
Lottery Ticket,Abdul Williams
From Paris with Love,Adi Hasak
The Next Three Days,Paul Haggis
The Kids Are All Right,Stuart Blumberg
The Kids Are All Right,Lisa Cholodenko
Country Strong,Shana Feste
Remember Me,Will Fetters
127 Hours,Simon Beaufoy
127 Hours,Danny Boyle
Going the Distance,Geoff LaTulippe
Splice,Vincenzo Natali
The Ghost Writer,Roman Polanski
My Soul to Take,Wes Craven
Let Me In,Matt Reeves
Jonah Hex,Mark Neveldine
Jonah Hex,Brian Taylor
Blue Valentine,Derek Cianfrance
Fair Game (2010),Jez Butterworth
Fair Game (2010),John-Henry Butterworth
MacGruber,Will Forte
MacGruber,Jorma Taccone
Cyrus,Jay Duplass
Cyrus,Mark Duplass
Winter's Bone,Debra Granik
"Waiting for""Superman""",Davis Guggenheim
It's Kind of a Funny Story,Anna Boden
It's Kind of a Funny Story,Ryan Fleck
The Warrior's Way,Sngmoo Lee
Solitary Man,Brian Koppelman
Greenberg,Noah Baumbach
Please Give,Nicole Holofcener
You Will Meet a Tall Dark Stranger,Woody Allen
Another Year,Mike Leigh
Never Let Me Go,Alex Garland
The Illusionist (2010),Sylvain Chomet
Rabbit Hole,David Lindsay-Abaire
"I Love You, Phillip Morris",Glenn Ficarra
"I Love You, Phillip Morris",John Requa
Somewhere,Sofia Coppola
Micmacs,Jean-Pierre Jeunet
Animal Kingdom,David Michod
What If...,Andrea Gyertson Nasfell
Middle Men,George Gallo
Agora,Alejandro Amenabar
Ondine,Neil Jordan
Life During Wartime,Todd Solondz
The Tempest,Julie Taymor
Monsters,Gareth Edwards
The Killer Inside Me,John Curran
"The Good, the Bad, the Weird",Jee-woon Kim
The Greatest (2010),Shana Feste
OSS 117:Lost in Rio,Michel Hazanavicius
Tales from Earthsea,Goro Miyazaki
District B13:Ultimatum,Luc Besson
Guy and Madeline on a Park Bench,Damien Chazelle
Valhalla Rising,Nicolas Winding Refn
Paper Man,Kieran Mulroney
Paper Man,Michele Mulroney
The Dry Land,Ryan Piers Williams
The Thorn in the Heart,Michel Gondry
The Thorn in the Heart,Stephen McFeely
